Time,PV,MV
87.65,107.8330109,41.39681715
88.12,107.8326315,41.39674642
88.6,107.8322544,41.39667643
89.04,107.8318796,41.39660719
89.52,107.831507,41.39653869
89.99,107.8311367,41.39647094
90.47,107.8307687,41.39640392
90.91,107.8304029,41.39633763
91.4,107.8300393,41.39627207
91.86,107.829678,41.39620724
92.33,107.8293189,41.39614314
92.8,107.828962,41.39607975
93.25,107.8286072,41.39601708
93.72,107.8282547,41.39595513
94.21,107.8279044,41.39589389
94.68,107.8275563,41.39583336
95.14,107.8272104,41.39577354
95.61,107.8268666,41.39571442
96.07,107.826525,41.395656
96.54,107.8261855,41.39559829
97.02,107.8258482,41.39554127
97.49,107.825513,41.39548494
97.97,107.8251799,41.39542931
98.41,107.824849,41.39537437
98.89,107.8245202,41.39532011
99.36,107.8241935,41.39526654
99.85,107.823869,41.39521365
100.28,107.8235465,41.39516144
100.77,107.8232261,41.3951099
101.24,107.8229078,41.39505905
101.72,107.8225915,41.39500886
102.19,107.8222774,41.39495935
102.66,107.8219652,41.39491051
103.11,107.8216552,41.39486233
103.56,107.8213472,41.39481481
104.03,107.8210412,41.39476796
104.5,107.8207373,41.39472177
104.99,107.8204354,41.39467623
105.45,107.8201355,41.39463135
105.94,107.8198377,41.39458712
106.38,107.8195418,41.39454354
106.85,107.819248,41.39450061
107.35,107.8189561,41.39445832
107.81,107.8186662,41.39441668
108.25,107.8183783,41.39437568
108.72,107.8180924,41.39433532
109.2,107.8178085,41.3942956
109.69,107.8175265,41.39425652
110.13,107.8172464,41.39421806
110.59,107.8169683,41.39418024
111.08,107.8166922,41.39414305
111.56,107.816418,41.39410648
112,107.8161457,41.39407054
112.47,107.8158753,41.39403522
112.95,107.8156068,41.39400052
113.44,107.8153403,41.39396643
113.87,107.8150756,41.39393297
114.34,107.8148129,41.39390012
114.83,107.814552,41.39386788
115.31,107.8142931,41.39383625
115.75,107.814036,41.39380523
116.22,107.8137807,41.39377481
116.7,107.8135274,41.393745
117.19,107.8132758,41.39371579
117.62,107.8130262,41.39368718
118.09,107.8127784,41.39365917
118.58,107.8125324,41.39363175
119.06,107.8122882,41.39360493
119.5,107.8120459,41.3935787
119.97,107.8118054,41.39355306
120.45,107.8115667,41.393528
120.94,107.8113299,41.39350354
121.37,107.8110948,41.39347965
121.84,107.8108615,41.39345635
122.33,107.81063,41.39343363
122.81,107.8104003,41.39341148
123.25,107.8101724,41.39338992
123.72,107.8099462,41.39336892
124.2,107.8097218,41.3933485
124.68,107.8094992,41.39332865
125.12,107.8092783,41.39330937
125.59,107.8090592,41.39329065
126.07,107.8088418,41.3932725
126.56,107.8086261,41.39325491
127,107.8084122,41.39323788
127.47,107.8082,41.39322141
127.95,107.8079895,41.39320549
128.43,107.8077807,41.39319013
128.87,107.8075737,41.39317533
129.34,107.8073683,41.39316108
129.82,107.8071646,41.39314737
130.31,107.8069626,41.39313421
130.75,107.8067624,41.3931216
131.25,107.8065637,41.39310954
131.68,107.8063668,41.39309801
132.17,107.8061715,41.39308703
132.64,107.8059779,41.39307658
133.12,107.8057859,41.39306667
133.56,107.8055956,41.39305729
134.03,107.805407,41.39304845
134.51,107.8052199,41.39304014
134.99,107.8050345,41.39303236
135.45,107.8048508,41.39302511
135.93,107.8046686,41.39301838
136.37,107.8044881,41.39301218
136.84,107.8043092,41.39300649
137.32,107.8041319,41.39300133
137.81,107.8039562,41.39299669
138.24,107.8037821,41.39299257
138.71,107.8036095,41.39298896
