Time,PV,MV
0,0,0
1,0,1.666667
2,0.010823,1.594517
3,0.028064,1.479576
4,0.048502,1.343318
5,0.069867,1.200886
6,0.090631,1.062461
7,0.109836,0.934427
8,0.126948,0.820346
9,0.141738,0.721746
10,0.154188,0.638747
11,0.164417,0.57055
12,0.17263,0.515803
13,0.17907,0.472869
14,0.183996,0.440024
15,0.187663,0.415578
16,0.190306,0.397961
17,0.192134,0.38577
18,0.193332,0.377789
19,0.194051,0.372991
20,0.194421,0.37053
21,0.194541,0.369724
22,0.194494,0.370039
23,0.19434,0.371063
24,0.194126,0.372492
25,0.193885,0.374101
26,0.193639,0.375738
27,0.193405,0.377301
28,0.193191,0.378727
29,0.193002,0.379984
30,0.192841,0.381062
31,0.192706,0.381961
32,0.192596,0.382695
33,0.192508,0.383279
34,0.19244,0.383734
35,0.192388,0.384078
36,0.19235,0.384333
37,0.192323,0.384514
38,0.192304,0.384637
39,0.192293,0.384716
40,0.192286,0.384761
41,0.192283,0.384783
42,0.192282,0.384787
43,0.192283,0.38478
44,0.192285,0.384767
45,0.192288,0.384749
46,0.19229,0.38473
47,0.192293,0.384712
48,0.192296,0.384694
49,0.192298,0.384678
50,0.1923,0.384664
51,0.192302,0.384653
52,0.192304,0.384643
53,0.192305,0.384635
54,0.192306,0.384629
55,0.192306,0.384624
56,0.192307,0.384621
57,0.192307,0.384618
58,0.192308,0.384616
59,0.192308,0.384615
60,0.192308,0.384614
61,0.192308,0.384614
62,0.192308,0.384613
63,0.192308,0.384613
64,0.192308,0.384614
65,0.192308,0.384614
66,0.192308,0.384614
67,0.192308,0.384614
68,0.192308,0.384614
69,0.192308,0.384615
70,0.192308,0.384615
71,0.192308,0.384615
72,0.192308,0.384615
73,0.192308,0.384615
74,0.192308,0.384615
75,0.192308,0.384615
76,0.192308,0.384615
77,0.192308,0.384615
78,0.192308,0.384615
79,0.192308,0.384615
80,0.192308,0.384615
81,0.192308,0.384615
82,0.192308,0.384615
83,0.192308,0.384615
84,0.192308,0.384615
85,0.192308,0.384615
86,0.192308,0.384615
87,0.192308,0.384615
